ImageId;X;Y;Z
C3_1;-0.27325;-0.13817;1.367564
C3_2;-0.12044;-0.98359;0.924543
C3_3;-0.3044;-1.14724;1.560295
C3_4;-0.77595;-1.35766;2.119281
C3_5;-1.60234;-0.81472;1.253473
C3_6;-1.53208;0.229195;1.313599
C3_7;-0.88631;0.866665;1.526612
C3_8;-1.59232;0.737579;1.738112
C3_9;-2.42233;1.082912;1.268918
C3_10;-3.11903;1.626832;0.831735
C3_11;-3.33839;0.481986;1.574619
C3_12;-3.47597;-0.78914;1.361571
C3_13;-4.79464;-0.15216;1.406512
C3_14;-5.17678;-0.83311;1.37287
C3_15;-5.14524;-1.38717;1.812603
C3_16;-5.33508;-1.91112;1.73471
C3_17;-5.29313;1.528898;0.251242
C3_18;-7.24352;0.876823;1.057328
C3_19;-7.83555;0.824755;1.179762
C3_20;-8.5772;0.19741;1.176247
C3_21;-8.73668;-0.64059;1.486244
C3_22;-8.69336;-1.20103;1.140105
C3_23;-7.03936;0.341748;0.964071
C3_24;-7.27122;-0.52348;1.324752
C3_25;-7.23858;-1.23956;1.058823
C3_26;-7.89392;0.058239;1.606705
C3_27;-7.36431;-0.75203;1.304833
C3_28;-8.09293;0.878681;0.754197
C3_29;-6.08461;3.145049;1.32826
C3_30;-6.93976;3.001588;1.269002
C3_31;-7.41049;3.50615;1.046098
C3_32;-7.3545;3.905839;1.10626
C3_33;-8.12807;3.857841;1.206356
C3_34;-8.12934;3.154308;1.16614
C3_35;-9.0177;3.712231;-1.38495
C3_36;-2.7756;0.672009;-1.33278
C3_37;0;0;0.19
C3_38;-5.27973;3.132251;0.96222
C3_39;0;0;0.19
